Instruction,Format,Description,ALU Function,Immediate?,Implemented?
ADD,R,x[rd] = x[rs1] + x[rs2],ADD,No,
SUB,R,x[rd] = x[rs1] - x[rs2],SUB,No,
ADDI,I,x[rd] = x[rs1] + imm,ADD,Yes (I-type),
AND,R,x[rd] = x[rs1] & x[rs2],AND,No,
OR,R,x[rd] = x[rs1] | x[rs2],OR,No,
XOR,R,x[rd] = x[rs1] ^ x[rs2],XOR,No,
ANDI,I,x[rd] = x[rs1] & imm,AND,Yes (I-type),
ORI,I,x[rd] = x[rs1] | imm,OR,Yes (I-type),
XORI,I,x[rd] = x[rs1] ^ imm,XOR,Yes (I-type),
SLL,R,x[rd] = x[rs1] << x[rs2],SLL,No,
SRL,R,x[rd] = x[rs1] >> x[rs2],SRL,No,
SRA,R,x[rd] = x[rs1] >>> x[rs2],SRA,No,
SLLI,I,x[rd] = x[rs1] << shamt,SLL,Yes (I-type),
SRLI,I,x[rd] = x[rs1] >> shamt,SRL,Yes (I-type),
SRAI,I,x[rd] = x[rs1] >>> shamt,SRA,Yes (I-type),
SLT,R,x[rd] = x[rs1] < x[rs2] (signed),SLT,No,
SLTU,R,x[rd] = x[rs1] < x[rs2] (unsigned),SLTU,No,
SLTI,I,x[rd] = x[rs1] < imm (signed),SLT,Yes (I-type),
SLTIU,I,x[rd] = x[rs1] < imm (unsigned),SLTU,Yes (I-type),
LUI,U,x[rd] = imm << 12,PASS IMM,Yes (U-type),
AUIPC,U,x[rd] = PC + (imm << 12),ADD,Yes (U-type),
JAL,J,x[rd] = PC+4; PC += imm,ADD/PC logic,Yes (J-type),
JALR,I,x[rd] = PC+4; PC = x[rs1]+imm,ADD/PC logic,Yes (I-type),
BEQ,B,if (x[rs1] == x[rs2]) PC += imm,"SUB, CMP",Yes (B-type),
BNE,B,if (x[rs1] != x[rs2]) PC += imm,"SUB, CMP",Yes (B-type),
BLT,B,if (x[rs1] < x[rs2]) PC += imm,SLT,Yes (B-type),
BGE,B,if (x[rs1] >= x[rs2]) PC += imm,SLT + NOT,Yes (B-type),
BLTU,B,if (x[rs1] < x[rs2]) unsigned,SLTU,Yes (B-type),
BGEU,B,if (x[rs1] >= x[rs2]) unsigned,SLTU + NOT,Yes (B-type),
LW,I,x[rd] = MEM[x[rs1] + imm],ADD,Yes (I-type),
SW,S,MEM[x[rs1] + imm] = x[rs2],ADD,Yes (S-type),
